split,threshold_type,threshold,rows,accuracy,precision,recall,f1,roc_auc,target_col,algorithm
val,default,0.5,21328,0.8346774193548387,0.5802827813286848,0.6879448909299656,0.6295440218533306,0.87369459551582,RainTomorrow,xgboost
val,optimal,0.55,21328,0.8457426856714179,0.6170072511535926,0.6447761194029851,0.6305861217156973,0.87369459551582,RainTomorrow,xgboost
test,default,0.5,21330,0.8122831692451946,0.5821241123803643,0.7440805051302289,0.65321323402044,0.8743319000809261,RainTomorrow,xgboost
test,optimal,0.55,21330,0.8259728082512893,0.6179951270449008,0.7006708760852407,0.6567412613279082,0.8743319000809261,RainTomorrow,xgboost
