run,algorithm,threshold,selection_metric,n_estimators,max_depth,learning_rate,scale_pos_weight,cv_roc_auc,roc_auc,accuracy,precision,recall,f1
2,xgboost,0.5,roc_auc,100,6,0.1,3,,0.87369459551582,0.8346774193548387,0.5802827813286848,0.6879448909299656,0.6295440218533306
1,xgboost,0.5,roc_auc,100,3,0.1,3,,0.8604086127741345,0.822439984996249,0.552709725315516,0.6838117106773823,0.6113106845940676
