threshold,accuracy,precision,recall,f1,roc_auc
0.05,0.32980120030007504,0.23286566682793097,0.9947187141216992,0.37738478961582017,0.87369459551582
0.1,0.4570048762190548,0.2704865963664083,0.9777267508610792,0.423744837537941,0.87369459551582
0.15,0.5591241560390098,0.31136023916292976,0.956601607347876,0.46980546941076967,0.87369459551582
0.2,0.6330176294073518,0.34951456310679613,0.9258323765786453,0.5074570511610346,0.87369459551582
0.25,0.6900787696924231,0.38737388872240536,0.8904707233065442,0.5398858415703744,0.87369459551582
0.3,0.737950112528132,0.42878578024007385,0.8530424799081515,0.5707043551732084,0.87369459551582
0.35,0.7748968492123031,0.4703851261620186,0.8133180252583238,0.5960454354228019,0.87369459551582
0.4,0.8019973743435859,0.5099697885196375,0.7752009184845006,0.6152164009111617,0.87369459551582
0.45,0.8206114028507127,0.5452988525432437,0.7311136624569461,0.6246811850107906,0.87369459551582
0.5,0.8346774193548387,0.5802827813286848,0.6879448909299656,0.6295440218533306,0.87369459551582
0.55,0.8457426856714179,0.6170072511535926,0.6447761194029851,0.6305861217156973,0.87369459551582
0.6,0.8511346586646662,0.6463293650793651,0.5983926521239954,0.6214379396685347,0.87369459551582
0.65,0.8561515378844711,0.6833855799373041,0.5506314580941447,0.6098677517802645,0.87369459551582
0.7,0.8586365341335334,0.7212681638044914,0.5014925373134328,0.5916294189353921,0.87369459551582
0.75,0.8572299324831207,0.7597145122918318,0.4399540757749713,0.5572197179002472,0.87369459551582
0.8,0.8546511627906976,0.8047595920349684,0.3804822043628014,0.516682257561584,0.87369459551582
0.85,0.8490716429107277,0.8622448979591837,0.31044776119402984,0.4565254094209016,0.87369459551582
0.9,0.8375843960990248,0.9024390243902439,0.2293915040183697,0.36580007323324787,0.87369459551582
0.95,0.8206114028507127,0.9445378151260504,0.12904707233065443,0.22707070707070706,0.87369459551582
